,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
88,Cleveland Cavaliers,Milwaukee Bucks,270.11335520025676,352.26484935247225,1,101.0,110.0,0
89,Milwaukee Bucks,Cleveland Cavaliers,352.26484935247225,270.11335520025676,0,110.0,101.0,1
90,Indiana Pacers,Detroit Pistons,433.6255864482389,324.466739835472,1,101.0,97.0,3
91,Detroit Pistons,Indiana Pacers,324.466739835472,433.6255864482389,0,97.0,101.0,1
92,Oklahoma City Thunder,Dallas Mavericks,513.7943142643585,264.49448053993814,1,100.0,88.0,3
93,Dallas Mavericks,Oklahoma City Thunder,264.49448053993814,513.7943142643585,0,88.0,100.0,0
94,Phoenix Suns,Houston Rockets,330.9267001484305,300.78376496774877,1,129.0,135.0,2
95,Houston Rockets,Phoenix Suns,300.78376496774877,330.9267001484305,0,135.0,129.0,2
96,Los Angeles Lakers,Sacramento Kings,278.6616747096785,379.0216765800275,1,100.0,107.0,1
97,Sacramento Kings,Los Angeles Lakers,379.0216765800275,278.6616747096785,0,107.0,100.0,4
98,Golden State Warriors,Denver Nuggets,436.4504850044909,337.17733133332257,1,103.0,114.0,1
99,Denver Nuggets,Golden State Warriors,337.17733133332257,436.4504850044909,0,114.0,103.0,3
100,LA Clippers,Charlotte Hornets,281.58891280837383,386.1568136540491,1,71.0,113.0,1
101,Charlotte Hornets,LA Clippers,386.1568136540491,281.58891280837383,0,113.0,71.0,4
102,Minnesota Timberwolves,Toronto Raptors,357.5875305387501,254.24400174299643,1,89.0,87.0,1
103,Toronto Raptors,Minnesota Timberwolves,254.24400174299643,357.5875305387501,0,87.0,89.0,3
104,Brooklyn Nets,Boston Celtics,341.70720428160456,410.49382631026896,1,105.0,109.0,1
105,Boston Celtics,Brooklyn Nets,410.49382631026896,341.70720428160456,0,109.0,105.0,3
106,Chicago Bulls,Detroit Pistons,392.30567380088166,371.4709752372555,1,91.0,114.0,2
107,Detroit Pistons,Chicago Bulls,371.4709752372555,392.30567380088166,0,114.0,91.0,2
108,Atlanta Hawks,San Antonio Spurs,411.8043785327204,400.0726229746553,1,100.0,86.0,3
109,San Antonio Spurs,Atlanta Hawks,400.0726229746553,411.8043785327204,0,86.0,100.0,0
110,Cleveland Cavaliers,Indiana Pacers,294.43835218680476,473.9210568826759,1,85.0,107.0,0
111,Indiana Pacers,Cleveland Cavaliers,473.9210568826759,294.43835218680476,0,107.0,85.0,4
112,Golden State Warriors,Houston Rockets,472.7208140390245,200.01800243638155,1,123.0,101.0,2
113,Houston Rockets,Golden State Warriors,200.01800243638155,472.7208140390245,0,101.0,123.0,2
114,Philadelphia 76ers,Washington Wizards,236.62417385799714,338.90941197292864,1,118.0,127.0,2
115,Washington Wizards,Philadelphia 76ers,338.90941197292864,236.62417385799714,0,127.0,118.0,3
116,New York Knicks,Boston Celtics,427.0573552205022,1201.3749786390972,1,101.0,95.0,4
117,Boston Celtics,New York Knicks,1201.3749786390972,427.0573552205022,0,95.0,101.0,3
118,Memphis Grizzlies,Oklahoma City Thunder,143.15880171869463,274.62822711108214,1,94.0,78.0,4
